BGC_ID - matches antiSMASHv5 files,BGC Label - matches cytoscape network label,S. species,GCF_ID in matrix file,tier 1 - BiG-SCAPE classification,tier 2 - BiG-SCAPE product prediction,tier 3 - BGC network module,tier 4 - GCF
SaCNY690_YU.contig_3.region001,SaCNY690_YU_c3_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNS299_PL.contig_7.region001,SaCNS299_PL_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SpCNS996_FJ.contig_5.region001,SpCNS996_FJ_c5_001,oceanensis,M0_GCF4222,Others,indole,M0,GCF4222
SpCNS237_PL.contig_0.region004,SpCNS237_PL_c0_004,mooreana,M0_GCF4222,Others,indole,M0,GCF4222
SaCNX508_PM.contig_4.region001,SaCNX508_PM_c4_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNH996B_SC.contig_5.region001,SaCNH996B_SC_c5_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNS205_PL.contig_0.region012,SaCNS205_PL_c0_012,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNT859_HI.contig_19.region001,SaCNT859_HI_c19_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SpDSM45543_FJ.contig_0.region008,SpDSM45543_FJ_c0_008,oceanensis,M0_GCF4222,Others,indole,M0,GCF4222
SpCNY646_RS.contig_3.region002,SpCNY646_RS_c3_002,mooreana,M0_GCF4222,Others,indole,M0,GCF4222
SaCNT800_HI.contig_6.region001,SaCNT800_HI_c6_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNY011_BA.contig_5.region001,SaCNY011_BA_c5_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNX482_PM.contig_3.region002,SaCNX482_PM_c3_002,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SpCNT403_FJ.contig_4.region001,SpCNT403_FJ_c4_001,oceanensis,M0_GCF4222,Others,indole,M0,GCF4222
SaCNY230_FJ.contig_7.region001,SaCNY230_FJ_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SpCNT045_FJ.contig_0.region003,SpCNT045_FJ_c0_003,oceanensis,M0_GCF4222,Others,indole,M0,GCF4222
SaCNS296_PL.contig_7.region001,SaCNS296_PL_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNH905_BA.contig_7.region001,SaCNH905_BA_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNY280_FJ.contig_0.region001,SaCNY280_FJ_c0_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNR107_GU.contig_6.region001,SaCNR107_GU_c6_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNS820_FJ.contig_6.region001,SaCNS820_FJ_c6_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SpCNY703_MD.contig_2.region001,SpCNY703_MD_c2_001,oceanensis,M0_GCF4222,Others,indole,M0,GCF4222
SaCNQ748_GU.contig_8.region001,SaCNQ748_GU_c8_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNY486_PV.contig_7.region001,SaCNY486_PV_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNT849_HI.contig_7.region001,SaCNT849_HI_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNH718_RS.contig_5.region001,SaCNH718_RS_c5_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNX814_PM.contig_5.region002,SaCNX814_PM_c5_002,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNS848_FJ.contig_6.region001,SaCNS848_FJ_c6_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SpDSM45549_FJ.contig_0.region002,SpDSM45549_FJ_c0_002,mooreana,M0_GCF4222,Others,indole,M0,GCF4222
SaCNS342_FJ.contig_7.region001,SaCNS342_FJ_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNY256_FJ.contig_9.region001,SaCNY256_FJ_c9_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNS673_FJ.contig_5.region001,SaCNS673_FJ_c5_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNY231_FJ.contig_4.region001,SaCNY231_FJ_c4_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNY244_FJ.contig_0.region001,SaCNY244_FJ_c0_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNX481_PM.contig_3.region002,SaCNX481_PM_c3_002,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SpCNT854_HI.contig_2.region002,SpCNT854_HI_c2_002,oceanensis,M0_GCF4222,Others,indole,M0,GCF4222
SaCNH643_BA.contig_7.region001,SaCNH643_BA_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SpCNY202_SC.contig_45.region001,SpCNY202_SC_c45_001,cortesiana,M0_GCF4222,Others,indole,M0,GCF4222
SaCNB458_BA.contig_5.region001,SaCNB458_BA_c5_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNH963_SC.contig_7.region001,SaCNH963_SC_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNY679_YU.contig_7.region001,SaCNY679_YU_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaDSM45545_FJ.contig_0.region005,SaDSM45545_FJ_c0_005,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNH964_SC.contig_7.region001,SaCNH964_SC_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNH877_BA.contig_6.region001,SaCNH877_BA_c6_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNH646_BA.contig_8.region001,SaCNH646_BA_c8_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNY694_YU.contig_14.region001,SaCNY694_YU_c14_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNX891_PM.contig_5.region002,SaCNX891_PM_c5_002,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNT850_HI.contig_11.region001,SaCNT850_HI_c11_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SpCNS860_FJ.contig_8.region001,SpCNS860_FJ_c8_001,oceanensis,M0_GCF4222,Others,indole,M0,GCF4222
SaCNT005_FJ.contig_6.region001,SaCNT005_FJ_c6_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNY237_FJ.contig_3.region002,SaCNY237_FJ_c3_002,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNY685_YU.contig_6.region001,SaCNY685_YU_c6_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNR921_PL.contig_0.region004,SaCNR921_PL_c0_004,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNT799_HI.contig_11.region001,SaCNT799_HI_c11_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNS051_PL.contig_4.region001,SaCNS051_PL_c4_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNP193_SC.contig_5.region001,SaCNP193_SC_c5_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SpDSM45547_FJ.contig_0.region014,SpDSM45547_FJ_c0_014,oceanensis,M0_GCF4222,Others,indole,M0,GCF4222
SaCNY234_FJ.contig_8.region001,SaCNY234_FJ_c8_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SpCNT029_FJ.contig_0.region003,SpCNT029_FJ_c0_003,oceanensis,M0_GCF4222,Others,indole,M0,GCF4222
SaCNP105_SC.contig_7.region001,SaCNP105_SC_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
SaCNS325_PL.contig_7.region001,SaCNS325_PL_c7_001,arenicola,M0_GCF2045,Others,indole,M0,GCF2045
